	9_SC1	10_Ssh1	11_SC2	12_Ssh2
ENSG00000000003	1171	745	659	835
ENSG00000000419	2527	1387	1451	1965
ENSG00000000457	408	313	191	337
ENSG00000000460	1266	336	456	490
ENSG00000001036	668	516	393	740
ENSG00000001084	1420	953	1036	1466
ENSG00000001167	3524	2150	2217	3031
ENSG00000001460	324	382	246	466
ENSG00000001461	2035	1321	1197	1785
ENSG00000001497	2380	1074	1470	1327
ENSG00000001561	23	26	23	36
ENSG00000001617	607	680	364	610
ENSG00000001629	3571	2172	1739	2574
ENSG00000001630	182	331	206	356
ENSG00000001631	368	180	146	184
ENSG00000002016	353	268	199	166
ENSG00000002079	61	17	25	23
ENSG00000002330	1382	1662	1204	1300
ENSG00000002549	1775	1227	875	1947
ENSG00000002586	2536	2579	2444	2982
ENSG00000002587	210	171	154	206
ENSG00000002746	77	82	51	70
ENSG00000002822	41	47	36	58
ENSG00000002834	9789	6899	5611	7074
ENSG00000002919	618	470	363	660
ENSG00000003056	2994	1817	1798	2769
ENSG00000003096	453	265	181	307
ENSG00000003137	6	40	23	52
ENSG00000003147	78	76	59	59
ENSG00000003249	211	402	142	274
ENSG00000003393	1581	1156	986	1677
ENSG00000003400	335	297	252	375
ENSG00000003402	716	641	373	583
ENSG00000003509	451	318	227	377
ENSG00000003756	2648	1488	1375	1568
ENSG00000003989	291	100	112	122
ENSG00000004059	6100	5414	4107	5457
ENSG00000004139	539	911	413	868
ENSG00000004142	5547	4148	3129	5167
ENSG00000004399	1331	1075	860	1433
ENSG00000004455	6381	4235	4308	5452
ENSG00000004468	4	13	13	28
ENSG00000004478	9070	4014	4814	7904
ENSG00000004487	5735	4233	3339	4900
ENSG00000004534	2494	1453	1604	2139
ENSG00000004660	494	369	262	350
ENSG00000004700	1895	1060	1139	1702
ENSG00000004766	1056	672	640	842
ENSG00000004777	455	150	197	113
ENSG00000004779	1922	1252	1314	1923
ENSG00000004799	14	40	3	29
ENSG00000004864	1549	672	727	790
ENSG00000004866	1004	765	640	898
ENSG00000004897	4330	2127	2061	2325
ENSG00000004961	1161	731	623	929
ENSG00000004975	2040	2182	1221	2286
ENSG00000005001	372	651	182	633
ENSG00000005007	4827	3735	2927	4408
ENSG00000005020	576	393	307	401
ENSG00000005022	17925	9537	10947	12826
ENSG00000005059	806	269	483	391
ENSG00000005073	35	22	23	49
ENSG00000005075	1413	755	758	791
ENSG00000005100	2611	1140	1306	1716
ENSG00000005102	46	45	32	57
ENSG00000005156	1760	874	990	1170
ENSG00000005175	1720	972	947	1320
ENSG00000005187	139	42	61	86
ENSG00000005189	130	50	66	65
ENSG00000005194	3021	1979	1850	2511
ENSG00000005206	884	743	502	394
ENSG00000005238	368	671	540	1080
ENSG00000005243	120	308	107	332
ENSG00000005249	40	33	19	42
ENSG00000005302	1011	541	566	854
ENSG00000005339	3383	1913	1685	2995
ENSG00000005379	311	622	237	552
ENSG00000005381	84	26	66	90
ENSG00000005436	788	275	323	269
ENSG00000005448	686	683	538	718
ENSG00000005469	1961	1576	729	1032
ENSG00000005483	1939	1055	903	1041
ENSG00000005486	2427	3344	1765	3498
ENSG00000005700	1658	1291	1494	1595
ENSG00000005801	542	306	316	388
ENSG00000005810	3056	1617	1412	2662
ENSG00000005812	1186	676	564	932
ENSG00000005882	609	707	359	586
ENSG00000005884	17232	11259	13574	13405
ENSG00000005889	1276	621	551	791
ENSG00000005893	3738	2788	2043	2951
ENSG00000005961	57	38	29	23
ENSG00000006007	3176	2749	1529	3024
ENSG00000006015	264	265	204	159
ENSG00000006016	248	339	213	334
ENSG00000006025	471	543	411	519
ENSG00000006042	613	409	395	473
ENSG00000006047	198	214	93	219
ENSG00000006062	667	446	374	347
ENSG00000006118	1831	2249	1114	1901
ENSG00000006125	15082	10409	8088	14370
ENSG00000006194	1371	1085	908	1560
ENSG00000006210	26	35	3	24
ENSG00000006282	1641	2565	1129	1880
ENSG00000006327	4189	3101	3515	4027
ENSG00000006432	797	702	426	1258
ENSG00000006451	3158	2126	1741	2638
ENSG00000006453	2191	1940	1488	2223
ENSG00000006459	214	203	205	480
ENSG00000006468	647	161	425	502
ENSG00000006530	1524	1131	1161	1438
ENSG00000006534	202	755	147	385
ENSG00000006555	450	530	252	483
ENSG00000006576	1974	790	854	1028
ENSG00000006607	1878	1041	878	1315
ENSG00000006625	2211	1019	1054	1330
ENSG00000006634	3168	632	1189	822
ENSG00000006638	76	65	51	42
ENSG00000006652	1151	1027	870	1475
ENSG00000006695	763	516	452	756
ENSG00000006704	1953	1907	1374	1807
ENSG00000006712	2604	1415	1598	2075
ENSG00000006715	1663	1266	839	1369
ENSG00000006740	188	174	120	228
ENSG00000006744	5179	2873	2984	3487
ENSG00000006756	489	495	316	467
ENSG00000006757	1077	1426	656	1209
ENSG00000006831	4878	3089	3200	4061
ENSG00000007038	1353	1134	719	1049
ENSG00000007047	1384	1517	930	1104
ENSG00000007080	1945	1932	1715	1874
ENSG00000007168	6387	4262	3327	5016
ENSG00000007202	9863	5589	5018	8721
ENSG00000007237	43	48	30	131
ENSG00000007255	226	468	167	339
ENSG00000007264	178	132	122	161
ENSG00000007341	334	194	179	281
ENSG00000007372	70	37	50	43
ENSG00000007376	1509	1104	827	667
ENSG00000007384	1248	1318	1047	1182
ENSG00000007392	1167	863	813	808
ENSG00000007516	52	349	60	327
ENSG00000007520	1436	1042	972	860
ENSG00000007541	875	479	417	174
ENSG00000007545	532	384	334	437
ENSG00000007866	2922	2741	1678	3063
ENSG00000007923	2971	1838	1764	1705
ENSG00000007944	899	551	387	570
ENSG00000007968	433	133	125	131
ENSG00000008018	5162	3576	3478	4320
ENSG00000008083	1581	1322	842	1486
ENSG00000008086	129	99	92	98
ENSG00000008128	60	26	25	34
ENSG00000008130	2027	1450	1250	1431
ENSG00000008256	2235	2802	1366	2883
ENSG00000008277	37	50	23	77
ENSG00000008282	4166	2401	1993	2593
ENSG00000008283	2364	1951	2131	2608
ENSG00000008294	3697	2062	2098	3027
ENSG00000008300	1032	1041	619	1094
ENSG00000008311	292	224	267	364
ENSG00000008323	17	59	5	41
ENSG00000008324	622	358	451	532
ENSG00000008382	430	352	266	347
ENSG00000008405	715	543	692	1258
ENSG00000008441	1538	1077	742	1048
ENSG00000008513	514	185	338	400
ENSG00000008516	47	151	53	168
ENSG00000008517	12	73	17	36
ENSG00000008710	1580	1418	941	811
ENSG00000008735	249	375	155	307
ENSG00000008838	3582	2729	2189	3008
ENSG00000008853	1683	1544	1050	1530
ENSG00000008869	906	407	431	412
ENSG00000008952	2881	2039	1644	2470
ENSG00000008988	24853	15053	18596	16016
ENSG00000009307	21890	10265	11915	11198
ENSG00000009335	8673	5876	4736	7284
ENSG00000009413	852	353	395	488
ENSG00000009780	372	306	205	268
ENSG00000009830	582	443	344	418
ENSG00000009844	1720	1165	1026	1399
ENSG00000009950	224	510	247	396
ENSG00000009954	9336	5212	4954	7897
ENSG00000010017	1850	1313	1146	1867
ENSG00000010030	61	138	22	91
ENSG00000010072	498	257	209	290
ENSG00000010165	1610	790	927	1370
ENSG00000010219	519	455	465	594
ENSG00000010244	6032	3278	3190	3618
ENSG00000010256	9586	9387	6736	9643
ENSG00000010270	1333	788	681	972
ENSG00000010278	5171	6738	3341	6678
ENSG00000010292	14842	3372	5678	5366
ENSG00000010295	37	60	55	58
ENSG00000010310	38	70	38	64
ENSG00000010318	156	109	60	124
ENSG00000010319	13	21	5	48
ENSG00000010322	2257	1707	1216	1500
ENSG00000010327	1	43	5	38
ENSG00000010361	384	387	188	303
ENSG00000010404	200	167	128	240
ENSG00000010539	485	376	303	506
ENSG00000010626	119	160	71	161
ENSG00000010704	989	591	416	467
