"SYMBOL","ENTREZID"
"CYP1B1","1545"
"UCA1","652995"
"SERPINB3","6317"
"PPL","5493"
"OLR1","4973"
"IGFL2-AS1","645553"
"PLEKHA7","144100"
"TGM2","7052"
"RRM2","6241"
"TSC22D3","1831"
"HCAR2","338442"
"DEPP1","11067"
"DUSP10","11221"
"INHBB","3625"
"ALPP","250"
"KRT16P2","400578"
"HEG1","57493"
"TP53INP1","94241"
"CPA4","51200"
"DEPDC1B","55789"
"WNT10A","80326"
"MT-ND6","4541"
"IL20RB","53833"
"IFITM1","8519"
"KRT81","3887"
"CALHM3","119395"
"HMMR","3161"
"KRT86","3892"
"LBH","81606"
"WFDC21P","645638"
"NOTCH3","4854"
"MKI67","4288"
"LBR","3930"
"AQP3","360"
"CDCA3","83461"
"LMNB1","4001"
"TYMS","7298"
"TIMP3","7078"
"IQGAP3","128239"
"HSPB8","26353"
"CD70","970"
"FAM83E","54854"
"LINC03040","221416"
"CLDN9","9080"
"PIF1","80119"
"SLC17A7","57030"
"MYBL2","4605"
"FANCA","2175"
"FAM111B","374393"
"CREB3L1","90993"
"KIF20A","10112"
"SYT7","9066"
"SAPCD2","89958"
"BAIAP3","8938"
"CDC20","991"
"SPDL1","54908"
"AREL1","9870"
"SUN3","256979"
"TROAP","10024"
"KRT16P5","353196"
"LINC03080","124903562"
"KRT16P3","644945"
"TNFSF10","8743"
"OAS1","4938"
"CLDN4","1364"
"MB","4151"
"TP53INP2","58476"
"LAPTM5","7805"
"PLK1","5347"
"CDCA7","83879"
"GABARAPL1","23710"
"ESPL1","9700"
"MMP28","79148"
"CDC45","8318"
"NCAPG","64151"
"WNT6","7475"
"DNAJB2","3300"
"PPP2R2C","5522"
"IFI44L","10964"
"HMGB2","3148"
"SCNN1A","6337"
"SLC29A4","222962"
"CENPE","1062"
"PIK3IP1","113791"
"TJP3","27134"
"TNFAIP2","7127"
"NDC80","10403"
"DBF4","10926"
"CDK5R2","8941"
"ANLN","54443"
"ADAMTSL4","54507"
"PNLIPRP3","119548"
"LRP1","4035"
"TUBA1C","84790"
"ASPM","259266"
"TPPP3","51673"
"PTPRH","5794"
"EFHD1","80303"
"P3H2","55214"
"BUB1B","701"
"KIF23","9493"
"MX1","4599"
"RRAD","6236"
"NPTXR","23467"
"SBK1","388228"
"TCP11L2","255394"
"NEDD9","4739"
"UBE2C","11065"
"DIRAS1","148252"
"DLGAP5","9787"
"BLVRB","645"
