"Geneid","GeneName","NewName","GeneType","chr","start","end","strand","9_SC1","10_Ssh1","11_SC2","12_Ssh2"
"ENSG00000000003","TSPAN6","ENSG00000000003_TSPAN6","protein_coding","chrX",100627108,100639991,"-",1171,745,659,835
"ENSG00000000419","DPM1","ENSG00000000419_DPM1","protein_coding","chr20",50934867,50959140,"-",2527,1387,1451,1965
"ENSG00000000457","SCYL3","ENSG00000000457_SCYL3","protein_coding","chr1",169849631,169894267,"-",408,313,191,337
"ENSG00000000460","FIRRM","ENSG00000000460_FIRRM","protein_coding","chr1",169662007,169854080,"+",1266,336,456,490
"ENSG00000001036","FUCA2","ENSG00000001036_FUCA2","protein_coding","chr6",143494812,143511720,"-",668,516,393,740
"ENSG00000001084","GCLC","ENSG00000001084_GCLC","protein_coding","chr6",53497341,53616970,"-",1420,953,1036,1466
"ENSG00000001167","NFYA","ENSG00000001167_NFYA","protein_coding","chr6",41072974,41102403,"+",3524,2150,2217,3031
"ENSG00000001460","STPG1","ENSG00000001460_STPG1","protein_coding","chr1",24356999,24416934,"-",324,382,246,466
"ENSG00000001461","NIPAL3","ENSG00000001461_NIPAL3","protein_coding","chr1",24415802,24472976,"+",2035,1321,1197,1785
"ENSG00000001497","LAS1L","ENSG00000001497_LAS1L","protein_coding","chrX",65438549,65534810,"-",2380,1074,1470,1327
"ENSG00000001561","ENPP4","ENSG00000001561_ENPP4","protein_coding","chr6",46129989,46146688,"+",23,26,23,36
"ENSG00000001617","SEMA3F","ENSG00000001617_SEMA3F","protein_coding","chr3",50155045,50189075,"+",607,680,364,610
"ENSG00000001629","ANKIB1","ENSG00000001629_ANKIB1","protein_coding","chr7",92245974,92401383,"+",3571,2172,1739,2574
"ENSG00000001630","CYP51A1","ENSG00000001630_CYP51A1","protein_coding","chr7",92084987,92134803,"-",182,331,206,356
"ENSG00000001631","KRIT1","ENSG00000001631_KRIT1","protein_coding","chr7",92197498,92246166,"-",368,180,146,184
"ENSG00000002016","RAD52","ENSG00000002016_RAD52","protein_coding","chr12",911736,990053,"-",353,268,199,166
"ENSG00000002079","MYH16","ENSG00000002079_MYH16","transcribed_unitary_pseudogene","chr7",99238829,99306809,"+",61,17,25,23
"ENSG00000002330","BAD","ENSG00000002330_BAD","protein_coding","chr11",64269830,64284704,"-",1382,1662,1204,1300
"ENSG00000002549","LAP3","ENSG00000002549_LAP3","protein_coding","chr4",17577198,17607972,"+",1775,1227,875,1947
"ENSG00000002586","CD99","ENSG00000002586_CD99","protein_coding","chrX",2691187,2741309,"+",2536,2579,2444,2982
