"Geneid","GeneName","NewName","GeneType","chr","start","end","strand","logFC","logCPM","PValue","FDR","significance"
"ENSG00000138061","CYP1B1","ENSG00000138061_CYP1B1","protein_coding","chr2",38066973,38109902,"-",2.76419939554155,5.1139527259702,5.3237102081909e-22,7.70127918716895e-18,"Up_in_Ssh1"
"ENSG00000214049","UCA1","ENSG00000214049_UCA1","lncRNA","chr19",15828206,15836328,"+",2.23551831551836,5.79664985418865,5.79865100763713e-20,4.19416427382394e-16,"Up_in_Ssh1"
"ENSG00000057149","SERPINB3","ENSG00000057149_SERPINB3","protein_coding","chr18",63655197,63661893,"-",4.19619916405673,2.12634539098452,2.28845059522974e-15,1.05420314820757e-11,"Up_in_Ssh1"
"ENSG00000118898","PPL","ENSG00000118898_PPL","protein_coding","chr16",4882507,4960741,"-",2.19317694390823,5.64061480475179,2.91498174535482e-15,1.05420314820757e-11,"Up_in_Ssh1"
"ENSG00000173391","OLR1","ENSG00000173391_OLR1","protein_coding","chr12",10158301,10172138,"-",3.86020452355568,3.33023375275446,6.04437999776786e-15,1.7487600209542e-11,"Up_in_Ssh1"
"ENSG00000268621","IGFL2-AS1","ENSG00000268621_IGFL2-AS1","lncRNA","chr19",46189029,46203160,"-",2.53119842315487,5.13024681575223,1.43982025625462e-14,3.47140663782988e-11,"Up_in_Ssh1"
"ENSG00000166689","PLEKHA7","ENSG00000166689_PLEKHA7","protein_coding","chr11",16777297,17014415,"-",2.51393346848209,4.35713181354343,2.09731513022053e-14,4.33425152482432e-11,"Up_in_Ssh1"
"ENSG00000198959","TGM2","ENSG00000198959_TGM2","protein_coding","chr20",38127385,38166578,"-",2.00216276983327,5.15458563069702,5.72953536757983e-14,1.03604323284262e-10,"Up_in_Ssh1"
"ENSG00000171848","RRM2","ENSG00000171848_RRM2","protein_coding","chr2",10120698,10211725,"+",-2.01997747235668,7.389729268149,7.50762247103361e-14,1.20672518517747e-10,"Down_in_Ssh1"
"ENSG00000260604","ENSG00000260604","ENSG00000260604_ENSG00000260604","lncRNA","chr6",3904920,3912072,"-",3.49613370492372,3.26716042628553,2.24910745997212e-13,3.25355885159567e-10,"Up_in_Ssh1"
"ENSG00000157514","TSC22D3","ENSG00000157514_TSC22D3","protein_coding","chrX",107713221,107777342,"-",1.98963643167311,5.92764076656499,3.70291783387872e-13,4.62509658688256e-10,"Up_in_Ssh1"
"ENSG00000182782","HCAR2","ENSG00000182782_HCAR2","protein_coding","chr12",122701293,122703357,"-",2.05762539496289,5.96807471794368,3.83666245282668e-13,4.62509658688256e-10,"Up_in_Ssh1"
"ENSG00000165507","DEPP1","ENSG00000165507_DEPP1","protein_coding","chr10",44970981,44978809,"-",1.84591154318871,5.25955830389065,4.69380528641277e-13,5.02023110940974e-10,"Up_in_Ssh1"
"ENSG00000143507","DUSP10","ENSG00000143507_DUSP10","protein_coding","chr1",221701424,221742089,"-",1.78513134370774,5.78582386443938,4.85851206496173e-13,5.02023110940974e-10,"Up_in_Ssh1"
"ENSG00000163083","INHBB","ENSG00000163083_INHBB","protein_coding","chr2",120346136,120351803,"+",2.86855742799769,3.1577002542053,1.51095358425872e-12,1.45716363665911e-09,"Up_in_Ssh1"
"ENSG00000163283","ALPP","ENSG00000163283_ALPP","protein_coding","chr2",232378724,232382889,"+",2.65724729038879,4.75717652110863,2.38489868413733e-12,2.15584223745658e-09,"Up_in_Ssh1"
"ENSG00000227300","KRT16P2","ENSG00000227300_KRT16P2","transcribed_unprocessed_pseudogene","chr17",16829999,16832753,"-",3.61284774473659,2.32571476289005,2.53347974815165e-12,2.15584223745658e-09,"Up_in_Ssh1"
"ENSG00000173706","HEG1","ENSG00000173706_HEG1","protein_coding","chr3",124965710,125055997,"-",2.01380556176464,5.84401641391398,5.2229245597568e-12,4.19749037119122e-09,"Up_in_Ssh1"
"ENSG00000164938","TP53INP1","ENSG00000164938_TP53INP1","protein_coding","chr8",94925972,94949378,"-",3.39703467812815,2.63207927494158,7.24347601674164e-12,5.51495389779919e-09,"Up_in_Ssh1"
"ENSG00000128510","CPA4","ENSG00000128510_CPA4","protein_coding","chr7",130293134,130324180,"+",1.79888310435775,5.39494610300157,7.94791903057124e-12,5.74872983481218e-09,"Up_in_Ssh1"
"ENSG00000035499","DEPDC1B","ENSG00000035499_DEPDC1B","protein_coding","chr5",60596912,60700190,"-",-2.37054695747804,4.81247157889765,1.52765416575568e-11,1.05233548389627e-08,"Down_in_Ssh1"
"ENSG00000135925","WNT10A","ENSG00000135925_WNT10A","protein_coding","chr2",218880852,218899581,"+",2.90113384611616,5.41344906548119,1.85887609383033e-11,1.22229552606135e-08,"Up_in_Ssh1"
"ENSG00000198695","MT-ND6","ENSG00000198695_MT-ND6","protein_coding","chrM",14149,14673,"-",-1.9076809780081,6.15197009293182,2.38405098193301e-11,1.49946441324535e-08,"Down_in_Ssh1"
"ENSG00000174564","IL20RB","ENSG00000174564_IL20RB","protein_coding","chr3",136946230,137011085,"+",2.0678707802607,6.40820923174116,2.86975271642385e-11,1.72974344982448e-08,"Up_in_Ssh1"
"ENSG00000185885","IFITM1","ENSG00000185885_IFITM1","protein_coding","chr11",310041,315272,"+",3.05893550273474,3.73918370126207,3.58129136042538e-11,2.07227843279654e-08,"Up_in_Ssh1"
